cgpa,internships,projects,aptitude_score,soft_skills_score,extracurricular,backlogs,placed
6.8,2,1,97,2.5,0,2,0
9.56,0,0,72,4.5,1,0,1
8.51,0,1,87,4.6,1,0,1
7.87,0,1,62,3.0,1,0,0
5.75,1,2,37,2.3,1,0,0
5.75,2,2,56,1.4,0,0,0
5.28,1,1,72,4.8,1,0,1
9.16,1,1,96,1.2,1,0,1
7.89,0,5,91,2.2,1,0,1
8.4,4,2,40,2.2,0,1,1
5.1,1,2,66,2.3,1,0,1
9.66,1,0,44,1.7,1,0,1
9.0,0,2,37,4.1,1,1,0
6.02,2,0,93,1.5,1,2,0
5.87,1,2,83,3.5,0,3,0
5.88,0,4,93,1.5,1,0,1
6.46,0,1,65,1.3,0,0,0
7.52,1,0,96,4.6,1,0,1
7.07,1,0,86,1.8,1,0,1
6.4,0,1,75,4.3,0,2,0
7.94,3,1,65,3.2,1,0,1
5.67,0,0,56,1.3,1,0,0
6.4,1,3,38,4.8,0,0,0
6.76,3,2,47,2.0,1,0,1
7.19,1,1,79,4.4,0,1,1
8.77,1,4,76,1.7,1,0,1
5.96,1,0,83,4.4,1,0,1
7.47,0,4,54,1.1,1,0,0
7.84,4,1,88,3.0,1,0,1
5.22,1,3,70,4.1,1,0,1
7.92,3,2,35,4.7,1,0,1
5.82,0,3,49,4.6,0,0,0
5.31,0,5,51,4.3,1,1,0
9.55,0,1,58,4.6,1,2,0
9.64,1,4,92,1.8,0,2,0
8.88,1,1,57,2.1,0,3,0
6.46,2,1,80,2.2,1,0,1
5.47,1,1,42,2.5,1,0,0
8.28,4,2,93,2.6,0,0,1
7.11,0,1,93,3.2,0,2,0
5.59,2,2,47,1.6,0,3,0
7.38,2,2,73,3.8,1,2,0
5.17,2,3,62,1.7,0,0,1
9.36,2,3,95,2.2,1,3,0
6.24,2,1,50,3.0,0,0,0
8.18,1,1,36,4.2,1,0,1
6.5,0,1,51,4.0,0,0,0
7.5,0,1,64,3.6,1,0,1
7.62,3,0,47,1.6,0,0,1
5.89,1,1,47,3.2,1,0,1
9.65,2,1,77,1.3,0,0,1
8.72,1,4,55,2.5,1,0,1
9.51,0,2,89,2.7,1,2,0
9.3,0,1,74,1.2,0,1,0
7.87,1,2,49,2.1,1,0,1
9.42,1,0,86,4.8,1,1,1
5.42,0,1,87,4.8,0,2,0
5.94,1,2,86,2.4,0,0,1
5.22,0,2,64,1.2,0,0,0
6.56,1,1,67,1.7,1,0,1
6.87,0,5,91,2.6,1,0,1
6.3,2,3,86,4.8,0,1,1
8.98,0,2,43,1.6,1,2,0
6.71,1,2,88,4.1,1,0,1
6.35,0,2,35,1.4,1,1,0
7.6,0,1,78,4.9,1,2,0
5.68,1,1,43,2.5,1,2,0
8.85,1,0,66,4.1,1,0,1
5.36,1,2,49,2.4,0,2,0
9.74,0,2,46,3.5,1,0,1
8.71,1,1,91,1.8,1,0,1
5.95,2,4,42,1.6,1,0,1
5.03,2,4,61,4.8,1,0,1
8.91,0,2,96,4.7,1,1,1
8.39,1,2,46,4.5,1,0,1
8.5,0,3,99,3.5,0,0,1
8.7,0,0,76,4.2,0,0,1
5.36,4,3,96,1.3,1,1,1
6.72,0,0,45,2.3,1,0,0
5.56,1,3,77,2.3,0,1,0
9.14,1,1,51,3.5,1,0,1
7.99,2,3,66,2.4,1,0,1
6.59,1,4,74,1.6,0,0,1
5.31,0,0,57,3.4,0,0,0
6.49,0,2,90,4.3,0,0,1
6.56,1,5,40,2.5,1,0,0
8.5,0,2,84,1.5,0,3,0
8.06,1,3,71,1.8,0,0,1
9.26,0,2,98,1.9,1,0,1
7.27,0,1,88,2.2,0,0,0
5.57,1,1,83,3.6,0,2,0
8.42,0,1,45,3.4,0,0,0
8.65,1,3,83,3.8,1,0,1
7.69,1,1,55,2.5,1,1,0
8.7,2,2,100,4.3,0,0,1
7.37,0,2,97,1.8,0,0,1
7.51,0,2,62,2.9,1,0,1
7.05,0,3,51,4.2,0,0,1
5.12,1,5,40,1.7,0,0,0
5.52,2,1,53,1.4,0,0,0
5.15,0,3,90,4.5,1,0,1
8.05,3,3,62,2.4,1,0,1
6.51,0,2,100,3.7,0,0,1
7.44,1,4,72,1.1,1,3,0
9.36,2,1,71,3.8,0,1,0
6.2,2,0,83,2.3,0,1,0
6.97,2,3,77,1.2,1,0,1
8.63,2,1,70,3.4,0,0,1
6.1,0,3,92,2.0,1,0,1
5.37,2,3,47,2.5,0,0,0
6.39,0,0,86,1.3,1,3,0
5.77,3,3,92,1.6,0,0,1
9.46,1,1,66,2.2,1,0,1
8.88,2,2,94,1.4,0,0,1
8.04,1,2,92,4.6,1,0,1
9.18,1,4,90,1.0,0,0,1
8.86,1,0,62,2.9,1,0,1
5.9,2,2,35,1.5,0,0,1
9.28,0,2,76,2.2,1,2,0
7.59,0,2,82,4.7,0,0,1
8.88,0,2,74,1.6,0,2,0
9.3,0,0,97,4.9,1,1,1
6.53,2,1,38,1.8,0,0,0
5.53,0,1,72,4.0,0,1,0
6.09,4,3,61,3.2,1,0,1
7.05,0,1,43,4.5,1,3,0
8.93,0,1,50,3.2,0,0,0
9.13,2,4,90,3.1,1,0,1
5.03,1,0,65,1.8,1,0,1
7.45,1,5,48,1.7,0,0,1
7.0,1,2,59,4.7,1,4,0
6.07,2,3,68,2.3,1,0,1
5.58,0,1,58,2.5,1,1,0
6.62,4,0,60,4.0,0,0,1
9.53,4,2,54,2.4,1,3,0
6.55,1,3,98,4.8,0,0,1
7.49,0,2,44,4.0,0,0,0
8.37,1,0,58,3.4,0,0,1
6.75,0,3,39,4.5,1,1,0
9.66,0,3,92,1.2,1,0,1
9.62,0,2,61,2.0,1,0,1
6.21,1,3,49,2.9,1,0,1
7.39,2,3,69,1.9,0,1,0
6.44,2,2,87,4.0,0,0,1
6.37,2,0,78,4.7,0,0,1
5.18,1,2,60,2.7,0,0,0
7.93,0,0,81,2.4,1,2,0
7.41,1,1,68,4.8,1,3,0
5.25,4,1,84,2.8,0,0,1
6.34,0,0,46,3.0,0,0,0
9.36,2,1,38,2.4,0,0,1
6.15,1,0,82,4.6,0,0,0
5.7,1,3,89,3.3,1,0,1
7.35,2,4,35,4.0,1,1,0
9.73,1,0,100,4.2,1,0,1
6.16,2,4,64,2.4,1,3,0
8.23,3,2,37,2.7,0,0,1
8.66,1,1,55,4.4,0,1,0
6.14,0,0,83,2.5,1,0,0
8.5,1,2,96,4.2,1,0,1
6.77,3,3,72,4.8,0,0,1
8.04,0,2,49,3.5,1,0,1
8.04,1,0,86,4.0,1,0,1
7.57,1,0,80,4.2,1,1,0
5.43,2,1,59,4.4,1,3,0
9.01,0,1,55,2.6,1,0,0
6.54,2,1,39,1.2,1,0,1
5.9,3,1,81,2.6,0,0,1
5.2,0,3,52,3.7,0,0,0
7.84,0,4,55,2.8,0,0,1
8.25,4,1,57,4.0,0,1,1
5.08,0,4,98,2.4,1,4,0
7.46,2,1,74,3.5,1,3,0
6.09,1,2,44,1.7,0,0,0
8.1,0,1,86,4.0,1,2,0
5.84,2,2,95,3.2,0,1,1
8.32,1,5,98,1.8,0,0,1
6.86,1,2,39,2.2,0,0,1
9.5,1,1,87,4.0,0,1,1
5.66,1,2,89,2.9,0,0,0
6.64,0,0,71,1.9,1,0,0
5.54,1,3,90,4.9,0,0,1
9.44,4,2,93,3.9,1,0,1
9.21,0,1,93,4.8,0,0,1
6.24,1,2,36,2.7,0,2,0
8.17,0,2,99,2.9,0,1,0
8.92,2,0,94,4.6,1,0,1
7.66,0,2,85,3.1,0,0,1
7.54,4,1,64,3.8,1,0,1
6.16,1,2,45,2.0,1,0,0
5.45,0,3,73,2.8,1,0,0
9.31,0,3,97,1.5,1,0,1
9.32,0,2,98,1.8,0,0,1
8.04,1,2,95,1.0,0,0,1
6.63,0,0,88,1.2,0,0,0
6.68,2,3,92,4.9,1,0,1
8.48,1,1,90,2.0,0,0,1
9.31,0,2,68,3.7,0,4,0
9.26,1,1,65,4.4,1,0,1
8.74,2,0,86,3.2,0,1,1
8.08,0,2,35,1.6,1,0,1
5.4,0,0,89,3.9,1,0,1
5.78,0,2,56,3.4,0,3,0
9.31,2,1,74,3.9,0,0,1
7.91,1,0,35,4.1,0,0,0
5.04,1,2,99,4.9,1,0,1
5.49,2,0,97,3.3,1,0,1
8.18,2,1,88,2.4,1,1,1
5.02,1,2,76,3.6,1,0,1
5.77,2,0,55,1.3,1,0,0
7.63,0,3,56,4.6,0,0,0
8.32,0,0,72,1.5,0,0,0
8.13,0,1,42,2.3,1,2,0
6.08,0,2,96,4.3,0,1,0
8.42,1,1,81,3.4,0,0,0
6.14,3,0,51,2.6,1,0,0
6.56,0,1,51,2.9,0,1,0
8.58,0,1,47,4.4,1,0,1
8.12,1,3,51,2.4,1,0,1
9.08,3,1,72,4.5,0,0,1
8.16,0,3,79,1.4,1,0,1
7.73,1,3,40,4.1,0,1,0
5.45,0,1,69,4.4,0,3,0
6.77,0,4,48,1.7,0,0,1
6.27,4,1,95,2.7,0,0,1
6.17,4,4,49,1.7,1,0,1
9.67,0,0,88,3.8,0,0,1
6.89,3,2,61,3.1,0,0,1
9.28,1,2,47,3.5,0,1,0
8.03,2,1,65,1.8,1,0,1
8.82,1,2,69,1.8,1,0,1
7.41,1,2,94,1.2,0,0,1
7.77,1,0,40,2.3,0,0,1
7.36,1,1,92,3.2,0,0,1
5.94,0,2,83,4.4,0,1,0
8.47,0,2,57,3.7,1,0,1
6.35,0,4,68,2.7,1,1,0
5.12,2,3,60,4.8,0,0,1
8.1,0,4,81,3.9,0,0,1
5.85,1,2,39,4.7,0,0,0
9.51,4,1,54,3.1,1,0,1
9.58,0,0,40,2.0,0,0,0
9.39,1,3,93,1.2,1,0,1
6.78,1,2,98,3.9,1,1,1
5.07,2,0,52,1.5,0,1,0
9.46,0,1,38,2.2,1,0,1
7.06,1,4,51,3.1,1,0,0
9.64,2,2,48,3.3,1,0,1
9.63,3,1,47,3.4,0,0,1
9.09,1,2,41,1.7,0,0,1
6.41,1,1,78,2.5,1,2,0
6.85,1,1,49,3.5,1,0,0
9.09,2,1,53,4.9,1,0,1
6.52,1,0,97,3.9,1,0,1
5.81,0,3,69,4.7,1,0,0
7.67,3,1,69,4.0,1,0,1
9.49,1,3,53,3.4,0,0,1
8.34,1,3,54,1.8,1,0,1
7.74,0,1,69,3.7,1,0,1
5.47,1,2,66,3.5,1,0,1
7.95,1,2,82,3.4,1,1,0
9.75,1,3,78,3.0,0,0,1
5.67,0,1,58,3.1,1,0,0
7.49,1,2,95,2.3,1,1,1
9.21,4,2,51,3.1,0,0,1
8.56,0,1,84,1.8,1,0,1
8.35,4,0,99,4.2,0,0,1
8.37,1,2,66,1.7,0,0,1
6.73,2,2,70,1.3,0,0,1
6.41,2,1,47,2.7,0,2,0
8.88,1,2,92,3.6,1,4,0
8.89,2,1,48,2.8,1,0,1
9.16,2,2,71,2.1,1,0,1
9.38,1,1,74,3.2,1,0,1
7.45,0,3,93,2.4,0,0,1
7.41,1,1,50,4.7,0,0,0
8.83,2,1,96,4.7,1,0,1
8.12,2,0,38,3.0,0,2,0
8.37,2,0,79,2.3,1,0,1
8.82,1,2,62,3.9,1,0,1
9.27,2,1,100,1.1,1,0,1
6.62,0,3,65,2.9,1,1,0
6.8,1,0,37,2.3,0,1,0
5.45,0,1,42,4.7,0,0,0
7.78,0,1,58,1.0,1,0,0
5.17,1,0,49,3.2,0,1,0
7.23,1,0,77,4.0,1,0,1
7.6,1,1,65,2.9,0,2,0
6.38,1,2,79,1.3,1,0,1
7.84,1,1,100,4.9,1,0,1
5.15,0,2,42,3.1,1,0,0
5.18,1,2,91,3.5,0,1,0
8.95,0,0,64,1.9,0,0,0
6.73,0,2,52,2.9,1,2,0
5.61,1,4,73,2.7,0,0,0
7.51,1,2,94,1.3,1,0,1
8.7,1,2,77,1.4,1,0,1
6.04,1,1,79,4.3,1,0,1
7.99,1,3,57,2.0,1,0,1
5.41,2,3,40,1.8,0,0,0
5.25,1,2,90,3.0,1,1,1
7.55,1,5,38,4.1,1,0,1
7.6,0,0,57,1.2,0,3,0
8.06,0,0,40,3.3,1,0,0
8.49,1,3,66,1.5,1,1,0
9.68,1,3,52,1.1,0,0,1
7.48,1,0,49,1.2,0,0,0
6.55,1,1,74,4.3,1,0,1
8.82,1,0,40,1.5,0,0,0
6.3,2,1,97,1.2,1,2,0
7.11,2,3,45,2.8,1,0,1
5.38,2,2,77,4.4,0,0,1
5.12,3,1,51,2.0,0,2,0
9.62,0,1,38,2.7,1,0,1
9.01,0,0,97,1.2,0,1,0
8.34,0,1,75,2.8,1,0,1
6.96,1,2,39,3.3,0,1,0
5.83,3,5,66,3.3,1,0,1
5.75,0,3,69,2.3,1,0,1
6.2,3,0,56,2.3,0,0,1
7.64,0,3,99,1.4,0,3,0
8.43,3,3,56,2.5,0,0,1
8.17,1,3,45,1.4,0,0,0
6.34,0,2,37,4.1,1,0,0
9.58,1,1,43,4.9,1,2,0
8.54,0,1,94,4.9,0,1,0
7.66,0,0,48,4.5,1,4,0
7.94,0,1,52,3.4,1,0,0
7.01,2,1,57,3.8,0,0,1
6.19,1,2,81,2.1,0,0,1
6.71,0,2,81,3.5,1,1,0
8.64,1,2,64,2.8,1,0,1
5.07,2,0,59,2.9,1,0,0
5.56,0,4,62,4.0,1,1,0
5.22,1,4,59,2.1,0,0,0
5.2,0,3,92,2.3,1,0,1
9.11,0,5,75,4.7,1,0,1
8.38,1,2,59,1.2,1,0,1
7.28,0,4,82,2.9,0,1,0
5.47,1,0,44,4.7,0,0,0
7.36,2,1,45,3.4,0,0,0
7.27,0,1,55,3.2,1,0,0
5.83,1,1,79,2.0,0,0,1
7.08,0,0,41,2.4,1,0,0
6.91,4,2,98,4.4,0,0,1
7.96,1,3,98,3.2,0,0,1
8.05,2,2,36,3.1,1,0,1
5.22,1,0,76,1.4,1,0,0
6.8,0,3,88,1.1,1,0,1
8.0,1,2,50,4.9,0,1,0
7.42,3,1,52,2.5,1,1,1
9.11,1,2,93,3.4,0,1,1
8.16,2,1,50,1.3,0,0,1
5.78,3,1,40,3.7,1,0,0
5.34,0,4,91,4.7,0,0,1
8.08,0,1,81,3.3,0,0,1
5.13,1,2,82,1.5,1,0,1
7.81,1,3,76,3.3,1,0,1
9.51,2,2,94,4.1,1,4,0
7.76,3,0,38,2.6,0,0,1
6.86,1,0,36,4.5,0,0,0
8.09,0,0,93,3.6,0,1,0
7.2,2,2,61,4.6,1,0,1
7.62,0,1,61,3.5,1,1,0
9.52,2,0,41,1.5,1,1,1
6.85,1,4,97,2.2,0,3,0
9.61,1,2,80,1.8,1,0,1
9.35,0,1,97,4.6,0,1,1
5.94,1,2,46,4.0,1,0,1
5.33,1,2,47,3.7,1,0,0
5.48,1,0,77,2.2,1,0,0
5.09,0,1,51,1.7,1,0,0
